[2025-10-06 10:11:26.498 +07:00 INF] HTTP GET /favicon.ico responded 200 in 22.7424 ms
[2025-10-06 10:11:31.370 +07:00 INF] HTTP POST /Account/Login responded 200 in 21.0937 ms
[2025-10-06 10:11:31.404 +07:00 INF] HTTP GET /js/Login.js responded 404 in 1.0538 ms
[2025-10-06 10:11:36.052 +07:00 INF] HTTP POST /Account/Login responded 302 in 7.5609 ms
[2025-10-06 10:11:36.150 +07:00 INF] HTTP GET / responded 200 in 93.7920 ms
[2025-10-06 10:11:36.189 +07:00 INF] HTTP GET /css/customer-style/customer-table-select.css responded 200 in 7.7911 ms
[2025-10-06 10:11:36.191 +07:00 INF] HTTP GET /css/customer-style/customer-layout.css responded 200 in 9.9676 ms
[2025-10-06 10:11:36.198 +07:00 INF] HTTP GET /images/Users/c89486da-e3b3-4a90-a2a8-42da31fd6d3e.png responded 200 in 17.3172 ms
[2025-10-06 10:11:36.720 +07:00 INF] HTTP GET /CustomerCart/Count responded 200 in 21.2572 ms
[2025-10-06 10:11:37.897 +07:00 INF] HTTP GET /CustomerOrder/CreateOrder responded 200 in 95.4953 ms
[2025-10-06 10:11:37.976 +07:00 INF] HTTP GET /images/Products/c1f93ac9-fa6e-4494-9100-a560582a4b9a.png responded 200 in 43.5551 ms
[2025-10-06 10:11:37.978 +07:00 INF] HTTP GET /images/Products/fa0a8e22-d96d-4129-b332-c5cfa9c5907e.png responded 200 in 46.2678 ms
[2025-10-06 10:11:38.031 +07:00 INF] HTTP GET /images/Products/e663c6fa-8a1c-48eb-b960-a46e042f75b0.png responded 200 in 35.1642 ms
[2025-10-06 10:11:38.036 +07:00 INF] HTTP GET /images/Products/3f0c6039-b19e-4059-a611-3565a558498e.png responded 200 in 52.5028 ms
[2025-10-06 10:11:38.038 +07:00 INF] HTTP GET /images/Products/7fca1eca-cbc9-4893-a0b6-8d15a8785467.png responded 200 in 62.0521 ms
[2025-10-06 10:11:38.048 +07:00 INF] HTTP GET /images/Products/4b76cf58-297c-4103-8d0d-b6812613d140.png responded 200 in 70.5112 ms
[2025-10-06 10:11:38.053 +07:00 INF] HTTP GET /images/Products/35e06364-f4aa-42a8-af06-710a3515e5d4.png responded 200 in 26.8145 ms
[2025-10-06 10:11:38.151 +07:00 INF] HTTP GET /CustomerCart/Count responded 200 in 9.3891 ms
[2025-10-06 10:11:38.162 +07:00 INF] HTTP GET /images/Products/6a25ffa7-ddbb-4c54-9b5c-f6a7f5c533f8.png responded 200 in 50.9169 ms
[2025-10-06 10:11:38.216 +07:00 INF] HTTP GET /images/Products/16a15652-73d6-4346-9249-8fc1f2cc3c95.png responded 200 in 33.3935 ms
[2025-10-06 10:11:38.217 +07:00 INF] HTTP GET /images/Products/7a4567b4-5461-4b87-ab35-88b99aee252e.png responded 200 in 62.8653 ms
[2025-10-06 10:11:38.217 +07:00 INF] HTTP GET /images/Products/be19ea7f-4a64-48ec-8ed0-cfd61ec83a0c.png responded 200 in 43.8640 ms
[2025-10-06 10:11:38.249 +07:00 INF] HTTP GET /images/Products/4844fca4-92ef-47b0-8de3-730a503d3d3e.png responded 200 in 27.9748 ms
[2025-10-06 10:11:38.262 +07:00 INF] HTTP GET /images/Products/e259973a-da61-47d1-972d-5a78e5c256ce.png responded 200 in 41.9991 ms
[2025-10-06 10:11:38.282 +07:00 INF] HTTP GET /images/Products/1c5b9240-5816-43e9-b8f3-f901fed869cc.png responded 200 in 45.7570 ms
[2025-10-06 10:11:38.284 +07:00 INF] HTTP GET /images/Products/15676b4f-2392-44e3-9456-d92254ec5b3c.png responded 200 in 20.7324 ms
[2025-10-06 10:11:38.285 +07:00 INF] HTTP GET /images/Products/8b0362f3-d248-4fad-a554-c2c4f602c185.png responded 200 in 34.7238 ms
[2025-10-06 10:11:38.353 +07:00 INF] HTTP GET /images/Products/17f718f3-d70e-4a63-a82e-9b48679d9ab0.png responded 200 in 86.1508 ms
[2025-10-06 10:11:38.357 +07:00 INF] HTTP GET /images/Products/a3b35f06-7007-43c3-b988-fcdc19365c26.png responded 200 in 67.3888 ms
[2025-10-06 10:11:38.379 +07:00 INF] HTTP GET /images/Products/f8c9461d-ac74-4448-a57e-21261c85931d.png responded 200 in 43.0609 ms
[2025-10-06 10:11:38.428 +07:00 INF] HTTP GET /images/Products/9456df4a-2808-45ee-937b-ac67f0bd1e9f.png responded 200 in 59.2399 ms
[2025-10-06 10:11:38.430 +07:00 INF] HTTP GET /images/Products/ae06e52c-a2d0-4b24-a9cf-b8553069f8ea.png responded 200 in 92.5719 ms
[2025-10-06 10:11:38.472 +07:00 INF] HTTP GET /images/Products/89a97dae-d8d3-43de-8a7d-f54fc062dc86.png responded 200 in 71.8656 ms
[2025-10-06 10:11:38.501 +07:00 INF] HTTP GET /images/Products/ce3b52a6-6357-4934-af74-6c54164a639f.png responded 200 in 62.8809 ms
[2025-10-06 10:11:38.505 +07:00 INF] HTTP GET /images/Products/737730d8-0824-4063-9366-4956eef8bd43.png responded 200 in 35.1314 ms
[2025-10-06 10:11:38.544 +07:00 INF] HTTP GET /images/Products/872b928c-305f-4281-ba39-ed7672221d73.png responded 200 in 49.2069 ms
[2025-10-06 10:11:38.554 +07:00 INF] HTTP GET /images/Products/a0ef8440-c3e5-4cf1-830a-efc9f20c04b9.png responded 200 in 83.9676 ms
[2025-10-06 10:11:38.569 +07:00 INF] HTTP GET /images/Products/27410e3b-53b8-45d8-a2a3-ce690056a240.png responded 200 in 47.3262 ms
[2025-10-06 10:11:38.573 +07:00 INF] HTTP GET /images/Products/801d2844-27fa-47b4-aa3b-6bdc7444de02.png responded 200 in 117.9395 ms
[2025-10-06 10:11:38.688 +07:00 INF] HTTP GET /images/Products/2a13adb6-a31f-426d-a679-db2d78737e0b.png responded 200 in 131.5393 ms
[2025-10-06 10:11:38.729 +07:00 INF] HTTP GET /images/Products/5ec5136a-468f-44c9-938c-6060dfaa3099.png responded 200 in 93.7149 ms
[2025-10-06 10:11:38.739 +07:00 INF] HTTP GET /images/Products/72a0c938-bacf-4585-8caf-966283ca6d7d.png responded 200 in 144.8820 ms
[2025-10-06 10:11:38.769 +07:00 INF] HTTP GET /images/Products/d4631bb8-c9fb-403d-90ab-114bde589f43.png responded 200 in 156.5822 ms
[2025-10-06 10:11:38.843 +07:00 INF] HTTP GET /images/Products/d1c559aa-6abf-4533-ad84-e8490a6ac91e.png responded 200 in 81.4414 ms
[2025-10-06 10:11:38.853 +07:00 INF] HTTP GET /images/Products/72c55871-ab7f-46f1-b4a4-5005f15c23fb.png responded 200 in 79.4219 ms
[2025-10-06 10:11:38.877 +07:00 INF] HTTP GET /images/Products/816985c3-291d-44c3-9ce4-f56c843f4949.png responded 200 in 123.3822 ms
[2025-10-06 10:11:38.877 +07:00 INF] HTTP GET /images/Products/d5bccf29-b8bb-4161-b81a-2def7502e5bb.png responded 200 in 48.8864 ms
[2025-10-06 10:11:38.878 +07:00 INF] HTTP GET /images/Products/e39b044a-cf53-4438-8276-fba7508a0f30.png responded 200 in 53.7465 ms
[2025-10-06 10:11:38.885 +07:00 INF] HTTP GET /images/Products/78218b8e-f700-404c-952e-465035b8b327.png responded 200 in 45.5475 ms
[2025-10-06 10:11:38.889 +07:00 INF] HTTP GET /images/Products/4b2ca95c-e8a0-4e59-9e21-46d55ada7934.png responded 200 in 28.1585 ms
[2025-10-06 10:11:39.617 +07:00 INF] HTTP POST /CustomerOrder/AddCart responded 200 in 51.4965 ms
[2025-10-06 10:11:40.149 +07:00 INF] HTTP POST /CustomerOrder/AddCart responded 200 in 14.6201 ms
[2025-10-06 10:11:40.869 +07:00 INF] HTTP POST /CustomerOrder/AddCart responded 200 in 63.3257 ms
[2025-10-06 10:11:41.748 +07:00 INF] HTTP GET /CustomerCart/Index responded 200 in 179.7309 ms
[2025-10-06 10:11:41.793 +07:00 INF] HTTP GET /css/customer-style/customer-cart.css responded 200 in 0.8123 ms
[2025-10-06 10:11:41.968 +07:00 INF] HTTP GET /CustomerCart/Count responded 200 in 14.2846 ms
[2025-10-06 10:11:44.739 +07:00 INF] HTTP POST /CustomerOrder/OrderInit responded 302 in 376.8842 ms
[2025-10-06 10:11:44.866 +07:00 INF] HTTP GET /Customer/OrderProcessing responded 200 in 118.9187 ms
[2025-10-06 10:11:44.896 +07:00 INF] HTTP GET /css/customer-style/customer-history.css responded 200 in 1.4927 ms
[2025-10-06 10:11:44.933 +07:00 INF] HTTP GET /CustomerCart/Count responded 200 in 2.1648 ms
[2025-10-06 10:11:52.147 +07:00 INF] HTTP GET /Account/Logout responded 302 in 3.1460 ms
[2025-10-06 10:11:52.162 +07:00 INF] HTTP GET /Account/Login responded 200 in 7.5247 ms
[2025-10-06 10:11:52.202 +07:00 INF] HTTP GET /js/Login.js responded 404 in 4.1838 ms
[2025-10-06 10:11:55.484 +07:00 INF] HTTP POST /Account/Login responded 302 in 11.5205 ms
[2025-10-06 10:11:55.512 +07:00 INF] HTTP GET /Home responded 200 in 21.9707 ms
[2025-10-06 10:11:55.578 +07:00 INF] HTTP GET /images/Users/3679c1c3-e8f6-4c55-bb73-f16c9de09905.png responded 200 in 30.6099 ms
[2025-10-06 10:11:55.587 +07:00 INF] HTTP GET /themes/dist/css/skins/_all-skins.min.css responded 200 in 39.0977 ms
[2025-10-06 10:11:55.661 +07:00 INF] HTTP GET /themes/bower_components/font-awesome/css/font-awesome.min.css responded 200 in 118.0588 ms
[2025-10-06 10:11:55.672 +07:00 INF] HTTP GET /themes/bower_components/bootstrap/dist/css/bootstrap.min.css responded 200 in 132.7266 ms
[2025-10-06 10:11:55.672 +07:00 INF] HTTP GET /themes/dist/css/AdminLTE.min.css responded 200 in 124.8814 ms
[2025-10-06 10:11:55.694 +07:00 INF] HTTP GET /themes/bower_components/jquery-slimscroll/jquery.slimscroll.min.js responded 200 in 23.0654 ms
[2025-10-06 10:11:55.699 +07:00 INF] HTTP GET /themes/bower_components/Ionicons/css/ionicons.min.css responded 200 in 151.5273 ms
[2025-10-06 10:11:55.795 +07:00 INF] HTTP GET /themes/bower_components/font-awesome/fonts/fontawesome-webfont.woff2 responded 200 in 13.6873 ms
